Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instrandom
DATE,52,0.17307692307692307,0.8653846153846154,0.17307692307692307,0.8461538461538461,0.7115384615384616
CARDINAL,105,0.19047619047619047,0.8761904761904762,0.19047619047619047,0.8380952380952381,0.8095238095238095
QUANTITY,1,1.0,1.0,1.0,0.0,1.0
ORDINAL,3,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0
MONEY,4,0.5,0.75,0.5,0.75,0.75
PERCENT,2,0.5,1.0,0.5,0.5,1.0
TIME,5,0.0,1.0,0.0,1.0,1.0
PERSON,744,0.08198924731182795,0.9193548387096774,0.08333333333333333,0.9274193548387096,0.8145161290322581
GPE,296,0.08108108108108109,0.9290540540540541,0.0945945945945946,0.9324324324324325,0.7905405405405406
ORG,380,0.10263157894736842,0.9105263157894737,0.11052631578947368,0.9026315789473685,0.8026315789473685
NORP,58,0.15517241379310345,0.896551724137931,0.15517241379310345,0.896551724137931,0.7931034482758621
LOC,32,0.09375,0.875,0.09375,0.90625,0.625
Overall,1682,0.10107015457788347,0.9131985731272295,0.10582639714625446,0.9114149821640903,0.8008323424494649
