Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,52,0.3269230769230769,0.8269230769230769,0.40384615384615385,0.8461538461538461,0.9615384615384616
CARDINAL,105,0.42857142857142855,0.9238095238095239,0.47619047619047616,0.819047619047619,0.9428571428571428
QUANTITY,1,0.0,0.0,0.0,1.0,1.0
ORDINAL,3,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0
MONEY,4,0.5,0.5,0.5,0.75,1.0
PERCENT,2,0.5,0.5,0.5,0.5,1.0
TIME,5,0.6,1.0,0.8,0.6,0.8
PERSON,744,0.45698924731182794,0.9516129032258065,0.5483870967741935,0.8870967741935484,0.9650537634408602
GPE,296,0.4391891891891892,0.9256756756756757,0.581081081081081,0.9493243243243243,0.9628378378378378
ORG,380,0.4605263157894737,0.9315789473684211,0.5578947368421052,0.8947368421052632,0.9578947368421052
NORP,58,0.39655172413793105,0.9310344827586207,0.4482758620689655,0.8103448275862069,0.9655172413793104
LOC,32,0.375,0.90625,0.46875,0.96875,0.9375
unknown,189,0.41798941798941797,0.8253968253968254,0.5026455026455027,0.798941798941799,0.91005291005291
Overall,1871,0.4425440940673437,0.9225013361838589,0.5387493319080705,0.8818813468733298,0.9556386958845537
