Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
DATE,52,0.15384615384615385,0.6538461538461539,0.3415310502990694,0.8653846153846154,0.8076923076923077,0.8269230769230769
CARDINAL,105,0.1619047619047619,0.6571428571428571,0.2923154500145773,0.9142857142857143,0.7238095238095238,0.7333333333333333
QUANTITY,1,0.0,0.0,0.28571428571428575,1.0,1.0,1.0
ORDINAL,3,0.0,0.6666666666666666,0.3507936507936508,1.0,0.6666666666666666,0.6666666666666666
MONEY,4,0.0,0.0,0.06666666666666667,0.75,0.5,0.5
PERCENT,2,0.0,1.0,0.1769230769230769,1.0,0.5,0.5
TIME,5,0.2,0.6,0.45353535353535357,1.0,0.8,0.6
PERSON,744,0.23387096774193547,0.728494623655914,0.4243338033198209,0.8790322580645161,0.7728494623655914,0.7768817204301075
GPE,296,0.3310810810810811,0.8243243243243243,0.5465161028019602,0.9358108108108109,0.8716216216216216,0.8918918918918919
ORG,380,0.25526315789473686,0.7263157894736842,0.4331295720935896,0.8842105263157894,0.7842105263157895,0.7947368421052632
NORP,58,0.1206896551724138,0.6551724137931034,0.2768506969924549,0.8793103448275862,0.7068965517241379,0.7241379310344828
LOC,32,0.28125,0.8125,0.5099800046300421,0.9375,0.9375,0.90625
unknown,189,0.09523809523809523,0.5132275132275133,0.24513969331758695,0.8253968253968254,0.7301587301587301,0.6772486772486772
Overall,1871,0.22928915018706575,0.7124532335649385,0.413388283163552,0.8866916087653661,0.7846071619454837,0.7867450561197221
