Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
DATE,499,0.0,0.5571142284569138,0.10038437113782188,0.8076152304609219,0.8557114228456913,0.7094188376753507
CARDINAL,169,0.0,0.5798816568047337,0.087954005858097,0.8875739644970414,0.8461538461538461,0.727810650887574
QUANTITY,19,0.0,0.3157894736842105,0.148748738260445,0.9473684210526315,1.0,0.7894736842105263
ORDINAL,13,0.0,0.5384615384615384,0.08659741130329367,0.9230769230769231,0.9230769230769231,0.6923076923076923
MONEY,11,0.0,0.45454545454545453,0.07535799431794005,0.9090909090909091,0.8181818181818182,0.5454545454545454
PERCENT,10,0.0,0.4,0.033991822377258896,0.7,0.9,0.4
TIME,7,0.0,0.42857142857142855,0.06729199458664631,0.8571428571428571,0.7142857142857143,0.7142857142857143
PERSON,1035,0.0,0.7681159420289855,0.1266076134505359,0.9584541062801932,0.8743961352657005,0.8579710144927536
GPE,288,0.0,0.7152777777777778,0.10059683924147922,0.875,0.8958333333333334,0.8194444444444444
ORG,198,0.0,0.696969696969697,0.1066740547360732,0.9191919191919192,0.8737373737373737,0.8181818181818182
NORP,80,0.0,0.6625,0.08819684466002026,0.825,0.9375,0.825
LOC,46,0.0,0.6086956521739131,0.11765928149366012,0.8043478260869565,0.9565217391304348,0.782608695652174
